period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-08,SOK,USA-OK,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020OK4,Percent of Commercial Natural Gas Deliveries in Oklahoma Represented by the Price (%),31.4,%
2023-08,SWV,USA-WV,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020WV4,Percent of Commercial Natural Gas Deliveries in West Virginia Represented by the Price (%),28.7,%
2023-08,SDC,USA-DC,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035DC4,Percent of Industrial Natural Gas Deliveries in District of Columbia Represented by the Price (%),0,%
2023-08,SNH,USA-NH,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035NH4,Percent of Industrial Natural Gas Deliveries in New Hampshire Represented by the Price (%),2.4,%
2023-08,SMN,MINNESOTA,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035MN4,Percent of Industrial Natural Gas Deliveries in Minnesota Represented by the Price (%),14,%
2023-08,SVT,USA-VT,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035VT4,Percent of Industrial Natural Gas Deliveries in Vermont Represented by the Price (%),100,%
2023-08,NUS,U.S.,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035US4,Percent of Industrial Natural Gas Deliveries in U.S. Total Represented by the Price (%),13.2,%
2023-08,SMD,USA-MD,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035MD4,Percent of Industrial Natural Gas Deliveries in Maryland Represented by the Price (%),.8,%
2023-08,SOH,OHIO,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035OH4,Percent of Industrial Natural Gas Deliveries in Ohio Represented by the Price (%),.6,%
2023-08,SIN,USA-IN,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035IN4,Percent of Industrial Natural Gas Deliveries in Indiana Represented by the Price (%),1,%
2023-08,SMI,USA-MI,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035MI4,Percent of Industrial Natural Gas Deliveries in Michigan Represented by the Price (%),2.8,%
2023-08,SME,USA-ME,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035ME4,Percent of Industrial Natural Gas Deliveries in Maine Represented by the Price (%),13.6,%
2023-08,STN,USA-TN,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TN4,Percent of Industrial Natural Gas Deliveries in Tennessee Represented by the Price (%),25.7,%
2023-08,SOR,USA-OR,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035OR4,Percent of Industrial Natural Gas Deliveries in Oregon Represented by the Price (%),17.3,%
2023-08,STN,USA-TN,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TN3,Tennessee Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),19.56,$/MCF
2023-08,SDE,USA-DE,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010DE3,Delaware Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),32.43,$/MCF
2023-08,SOR,USA-OR,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010OR3,Oregon Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),22.61,$/MCF
2023-08,SMO,USA-MO,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010MO3,Missouri Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),31.21,$/MCF
2023-08,SMI,USA-MI,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010MI3,Michigan Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),16.09,$/MCF
2023-08,SVT,USA-VT,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010VT3,Vermont Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),27.75,$/MCF
2023-08,SWI,USA-WI,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010WI3,Wisconsin Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),16.68,$/MCF
2023-08,NUS-Z00,U.S.,EPG0,Natural Gas,PNP,Pipeline Exports (Price),N9132US3,Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),2.5,$/MCF
2023-08,SMD,USA-MD,EPG0,Natural Gas,PIN,Industrial Price,N3035MD3,Maryland Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),13.02,$/MCF
2023-08,SCA,CALIFORNIA,EPG0,Natural Gas,PG1,City Gate Price,N3050CA3,Natural Gas Citygate Price in California (Dollars per Thousand Cubic Feet),4.78,$/MCF
2023-08,SFL,FLORIDA,EPG0,Natural Gas,PG1,City Gate Price,N3050FL3,Natural Gas Citygate Price in Florida (Dollars per Thousand Cubic Feet),6.69,$/MCF
2023-08,SHI,USA-HI,EPG0,Natural Gas,PG1,City Gate Price,N3050HI3,Natural Gas Citygate Price in Hawaii (Dollars per Thousand Cubic Feet),32.85,$/MCF
2023-08,SVA,USA-VA,EPG0,Natural Gas,PG1,City Gate Price,N3050VA3,Natural Gas Citygate Price in Virginia (Dollars per Thousand Cubic Feet),5.19,$/MCF
2023-08,SCT,USA-CT,EPG0,Natural Gas,PG1,City Gate Price,N3050CT3,Natural Gas Citygate Price in Connecticut (Dollars per Thousand Cubic Feet),7.19,$/MCF
